"brace@0.11.1";"Copyright 2013 Thorsten Lorenz. ";"MIT"
"lodash.get@4.4.2";"Copyright jQuery Foundation and other contributors <https://jquery.org/>
Copyright and related rights for sample code are waived via CC0. Sample";"MIT"
"lodash.isequal@4.5.0";"Copyright JS Foundation and other contributors <https://js.foundation/>
Copyright and related rights for sample code are waived via CC0. Sample";"MIT"
"react-chrome-redux@1.5.1";"Copyright (c) 2016 Tyler Shaddix";"MIT"
"lodash@4.17.4";"Copyright JS Foundation and other contributors <https://js.foundation/>
Copyright and related rights for sample code are waived via CC0. Sample";"MIT"
"react-dom@16.4.1";"Copyright (c) 2013-present, Facebook, Inc.";"MIT"
"react-popup@0.9.3";"Copyright (c) 2014 Minutemailer AB";"MIT"
"keymaster@1.6.2";"";""
"react-redux@5.0.7";"Copyright (c) 2015-present Dan Abramov";"MIT"
"hoist-non-react-statics@2.5.5";"Copyright (c) 2015, Yahoo! Inc. All rights reserved.";"BSD-3-Clause"
"invariant@2.2.2";"Copyright (c) 2016, Andres Suarez";"BSD-3-Clause"
"lodash@4.17.10";"Copyright JS Foundation and other contributors <https://js.foundation/>
Copyright and related rights for sample code are waived via CC0. Sample";"MIT"
"lodash-es@4.17.10";"Copyright JS Foundation and other contributors <https://js.foundation/>
Copyright and related rights for sample code are waived via CC0. Sample";"MIT"
"react-select@1.2.1";"Copyright (c) 2018 Jed Watson";"MIT"
"classnames@2.2.6";"Copyright (c) 2017 Jed Watson";"MIT"
"react-input-autosize@2.2.1";"Copyright (c) 2018 Jed Watson";"MIT"
"react-timeago@4.1.9";"Copyright (c) 2014 Naman Goel";"MIT"
"react-toggle-button@2.2.0";"Copyright (c) 2016 Gavin Owens";"MIT"
"react-motion@0.5.2";"Copyright (c) 2015 React Motion authors";"MIT"
"performance-now@0.2.0";"Copyright (c) 2013 Meryn Stol";"MIT"
"raf@3.4.0";"";"MIT"
"performance-now@2.1.0";"Copyright (c) 2013 Braveg1rl";"MIT"
"react-treebeard@2.1.0";"Copyright (c) 2015 Alex Curtis";"MIT"
"babel-runtime@6.26.0";"";"MIT"
"core-js@2.5.1";"Copyright (c) 2014-2017 Denis Pushkarev";"MIT"
"regenerator-runtime@0.11.0";"";"MIT"
"deep-equal@1.0.1";"";"MIT"
"radium@0.19.6";"Copyright (c) 2015 Formidable Labs";"MIT"
"array-find@1.0.0";"Copyright (c) Stefan Duberg";"MIT"
"exenv@1.2.2";"Copyright (c) 2013-2015, Facebook, Inc.";"BSD-3-Clause"
"inline-style-prefixer@2.0.5";"Copyright (c) 2015 Robin Frischmann";"MIT"
"bowser@1.9.3";"Copyright 2015, Dustin Diaz (the "Original Author")";"MIT"
"hyphenate-style-name@1.0.2";"Copyright (c) 2015, Espen Hovlandsdal";"BSD-3-Clause"
"shallowequal@0.2.2";"Copyright (c) 2015 Alberto Leal <mailforalberto@gmail.com> (github.com/dashed)";"MIT"
"lodash.keys@3.1.2";"Copyright 2012-2015 The Dojo Foundation <http://dojofoundation.org/>";"MIT"
"lodash._getnative@3.9.1";"Copyright 2012-2015 The Dojo Foundation <http://dojofoundation.org/>";"MIT"
"lodash.isarguments@3.1.0";"Copyright jQuery Foundation and other contributors <https://jquery.org/>
Copyright and related rights for sample code are waived via CC0. Sample";"MIT"
"lodash.isarray@3.0.4";"Copyright 2012-2015 The Dojo Foundation <http://dojofoundation.org/>";"MIT"
"velocity-react@1.4.1";"Copyright (c) 2017 Google Inc. and other contributors";"MIT"
"lodash@4.17.10";"Copyright JS Foundation and other contributors <https://js.foundation/>
Copyright and related rights for sample code are waived via CC0. Sample";"MIT"
"react-transition-group@2.3.1";"Copyright (c) 2016, React Community
Forked from React (https://github.com/facebook/react) Copyright 2013-present, Facebook, Inc.";"BSD-3-Clause"
"dom-helpers@3.3.1";"";"MIT"
"velocity-animate@1.5.1";"Copyright (c) 2014 Julian Shapiro";"MIT"
"redux@3.7.2";"Copyright (c) 2015-present Dan Abramov";"MIT"
"lodash-es@4.17.4";"Copyright JS Foundation and other contributors <https://js.foundation/>
Copyright and related rights for sample code are waived via CC0. Sample";"MIT"
"symbol-observable@1.1.0";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
Copyright (c) Ben Lesh <ben@benlesh.com>";"MIT"
"showdown@1.8.6";"Showdown Copyright (c) 2007, John Fraser
Original Markdown copyright (c) 2004, John Gruber";"BSD-3-Clause"
"yargs@10.1.2";"Copyright 2010 James Halliday (mail@substack.net)
Modified work Copyright 2014 Contributors (ben@npmjs.com)";"MIT"
"cliui@4.1.0";"Copyright (c) 2015, Contributors";"ISC"
"strip-ansi@4.0.0";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"ansi-regex@3.0.0";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"find-up@2.1.0";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"locate-path@2.0.0";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"p-locate@2.0.0";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"p-limit@1.1.0";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"path-exists@3.0.0";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"get-caller-file@1.0.2";"";"ISC"
"os-locale@2.1.0";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"execa@0.7.0";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"cross-spawn@5.1.0";"Copyright (c) 2014 IndigoUnited";"MIT"
"lru-cache@4.1.1";"Copyright (c) Isaac Z. Schlueter and Contributors";"ISC"
"pseudomap@1.0.2";"Copyright (c) Isaac Z. Schlueter and Contributors";"ISC"
"yallist@2.1.2";"Copyright (c) Isaac Z. Schlueter and Contributors";"ISC"
"shebang-command@1.2.0";"Copyright (c) Kevin Martensson <kevinmartensson@gmail.com> (github.com/kevva)";"MIT"
"shebang-regex@1.0.0";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"which@1.3.0";"Copyright (c) Isaac Z. Schlueter and Contributors";"ISC"
"isexe@2.0.0";"Copyright (c) Isaac Z. Schlueter and Contributors";"ISC"
"get-stream@3.0.0";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"npm-run-path@2.0.2";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"path-key@2.0.1";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"p-finally@1.0.0";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"signal-exit@3.0.2";"Copyright (c) 2015, Contributors";"ISC"
"strip-eof@1.0.0";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"mem@1.1.0";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"mimic-fn@1.1.0";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"require-directory@2.1.1";"Copyright (c) 2011 Troy Goode <troygoode@gmail.com>";"MIT"
"require-main-filename@1.0.1";"Copyright (c) 2016, Contributors";"ISC"
"set-blocking@2.0.0";"Copyright (c) 2016, Contributors";"ISC"
"string-width@2.1.1";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"is-fullwidth-code-point@2.0.0";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"strip-ansi@4.0.0";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"ansi-regex@3.0.0";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"which-module@2.0.0";"Copyright (c) 2016, Contributors";"ISC"
"yargs-parser@8.1.0";"Copyright (c) 2016, Contributors";"ISC"
"camelcase@4.1.0";"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)";"MIT"
"uuid@3.3.0";"Copyright (c) 2010-2016 Robert Kieffer and other contributors";"MIT"
